,title,price,izmer,location,seller,seller_link,date,link
80,Торф прессованный на поддоне (в упаковке биг-бейл),3500.00,за Штуку,"Владимирская область,  Гусь-Хрустальный", Анастасия,https://agroru.com/pages/320854/,10.12.2020,https://agroru.com/doska/torf-pressovannyj-na-poddone-v-upakovke-big-bejl-17723.htm
81,Торф верховой фрезерный,550.00,за Метр кв.,"Владимирская область,  Гусь-Хрустальный", Анастасия,https://agroru.com/pages/320854/,10.12.2020,https://agroru.com/doska/torf-verhovoj-frezernyj-56827.htm
82,"Селитра аммиачная, карбамид, диаммофоска, сульфоаммофос",None,None,"Ростовская область,  Таганрог", Елена  Павловна Калабина,https://agroru.com/pages/202375/,10.12.2020,https://agroru.com/doska/selitra-karbamid-sulfoammofos-20-20-diammofoska-70984.htm
83,"Мука известняковая ГОСТ , марка С",1000.00,за Тонну,"Кемеровская область,  Кемерово","«ТТК Сибирский Альянс», ООО",https://agroru.com/pages/330794/,[],https://agroru.com/doska/muka-izvestnyakovaya-gost-14050-93-marka-s-42478.htm
84,"Мука известняковая ГОСТ , марка В",1300.00,за Тонну,"Кемеровская область,  Кемерово","«ТТК Сибирский Альянс», ООО",https://agroru.com/pages/330794/,10.12.2020,https://agroru.com/doska/muka-izvestnyakovaya-gost-14050-93-marka-v-58478.htm
85,"Мука известняковая ГОСТ , марка А",1800.00,за Тонну,"Кемеровская область,  Кемерово","«ТТК Сибирский Альянс», ООО",https://agroru.com/pages/330794/,10.12.2020,https://agroru.com/doska/muka-izvestnyakovaya-gost-14050-93-marka-a-73497.htm
86,Нертус Цинк,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/nertus-tsink-28858.htm
87,Нертус Старт удобрение,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/nertus-start-udobrenie-25203.htm
88,Нертус Бор жидкое удобрение,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/nertus-bor-zhidkoe-udobrenie-62059.htm
89,РЕАСИЛ ФОРТЕ жидкое азотное удобрение,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/reasil-forte-zhidkoe-azotnoe-udobrenie-90518.htm
90,Паверфол Бор,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/paverfol-bor-82564.htm
91,ГУМАТ,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/gumat-76635.htm
92,АЗОСОЛ 36 ЭКСТРА,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/azosol-36-ekstra-90392.htm
93,АДОБ БОР,None,None,"Воронежская область,  Воронеж","Агроторг - 36, ООО",https://agroru.com/pages/220842/,09.12.2020,https://agroru.com/doska/adob-bor-65714.htm
94,Экологическое удобрение Карбамид-ВК (водорастворимый карбамидный комплекс) КОНЦЕНТРАТ!,2000.00,за Килограмм,"Ярославская область,  Ярославль", Евгений,https://agroru.com/pages/268508/,09.12.2020,https://agroru.com/doska/ekologicheskoe-udobrenie-karbamid-vk-vodorastvorimyj-karbami-11593.htm
95,Аммофос NP (12:52),44250.00,за Тонну,"Приморский край,  Владивосток", Дмитрий Александрович Филоненко,https://agroru.com/pages/304921/,09.12.2020,https://agroru.com/doska/ammofos-np-12-52-47388.htm
96,Ди-Аммоний фосфат (DAP),45756.00,за Тонну,"Приморский край,  Владивосток", Дмитрий Александрович Филоненко,https://agroru.com/pages/304921/,09.12.2020,https://agroru.com/doska/di-ammonij-fosfat-dap-83308.htm
97,Сульфат аммония гранулрованый,15.00,за Тонну,"Р-ка Татарстан,  Казань", Рафаэль,https://agroru.com/pages/334213/,08.12.2020,https://agroru.com/doska/sulfat-ammoniya-granulrovanyj-48636.htm
98,Внесение удобрений пневмоходами БАРС,150.00,за Гектара,"Ростовская область,  Ростов-на-Дону", Олег Валерьевич Соколов,https://agroru.com/pages/269770/,08.12.2020,https://agroru.com/doska/vnesenie-udobrenij-pnevmohodami-bars-74225.htm
99,Жидкие комплексные микроудобрения,215.00,за Литр,"Ростовская область,  Ростов-на-Дону", Олег Валерьевич Соколов,https://agroru.com/pages/269770/,08.12.2020,https://agroru.com/doska/zhidkie-kompleksnye-mikroudobreniya-51011.htm
100,Торф,600.00,за Тонну," Владимирская область,  Аленино", Елена,https://agroru.com/pages/334161/,08.12.2020,https://agroru.com/doska/torf-78598.htm
101,Сорбент Минеральный Вермикулитовый,65.00,за Килограмм,"Томская область,  Томск", Александр A. Стрикалов,https://agroru.com/pages/73184/,07.12.2020,https://agroru.com/doska/sorbent-mineralnyj-vermikulitovyj-36243.htm
102,Аммоний сульфат технический (аммоний сернокислый),17.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/ammonij-sulfat-tehnicheskij-ammonij-sernokislyj-41953.htm
103,Диаммонийфосфат 18:46,35.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/diammonijfosfat-18-46-28139.htm
104,Диаммонийфосфат удобрительный ТУ 113-08-556-93,40.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/diammonijfosfat-udobritelnyj-tu-113-08-556-93-13737.htm
105,Удобрения фосфаты,100.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/udobreniya-fosfaty-54052.htm
106,Моноаммоний фосфат,90.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/monoammonij-fosfat-18621.htm
107,Карбамид «мочевина» технический марка А,25.50,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/karbamid-mochevina-tehnicheskij-marka-a-97637.htm
108,Монокалий фосфат (калий фосфорнокислый),100.00,за Килограмм,"Москва,  Москва", Геннадий,https://agroru.com/pages/86476/,07.12.2020,https://agroru.com/doska/monokalij-fosfat-kalij-fosfornokislyj-49323.htm
109,Навоз коровий в мешках и россыпью,120.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/navoz-korovij-v-meshkah-i-rossypju-34983.htm
110,навоз конский полу-перепревший в мешках,150.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/navoz-konskij-polu-pereprevshij-v-meshkah-22894.htm
111,Земля садовая в мешках 50 литров,170.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/zemlya-sadovaya-v-meshkah-50-litrov-40367.htm
112,Грунт садовый растительный в мешках по 50 литров,150.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/gruns-sadovyj-rastitelnyj-v-meshkah-po-50-litrov-96711.htm
113,коровий навоз перегной в мешках и россыпью!,150.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/korovij-navoz-peregnoj-v-meshkah-i-rossypju-10083.htm
114,"Земля садовая, Почвогрунт, Торф, Навоз, Гумус, Грунт для сада в мешках,Чернозем.",170.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/zemlya-sadovaya-pochvogrunt-torf-navoz-gumus-grunt-dlya-sada-47458.htm
115,куриный помет в мешках по 60 литров,170.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/kurinyj-pomet-v-meshkah-po-60-litrov-73085.htm
116,"Навоз конский, Навоз коровий в мешках и россыпью.",170.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/navoz-konskij-navoz-korovij-v-meshkah-i-rossypju-33122.htm
117,"Торф верховой, торф низинный,",150.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/torf-verhovoj-torf-nizinnyj-86161.htm
118,Навоз коровий в мешках по 60литров,150.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/navoz-korovij-v-meshkah-po-60litrov-80188.htm
119,Земля садовая в мешках по 60 литров,170.00,за Упаковку,"Санкт-Петербург,  Санкт-Петербург", Богдан Родионович Левинский,https://agroru.com/pages/168449/,11.12.2020,https://agroru.com/doska/zemlya-sadovaya-v-meshkah-po-60-litrov-58475.htm
